,title,authors,paper_url,code_url,poster_url
0,Learning Active Learning from Data,Ksenia Konyushkova · Raphael Sznitman · Pascal Fua,http://papers.nips.cc/paper/by-source-2017-2224,https://github.com/ksenia-konyushkova/LAL,https://drive.google.com/file/d/1KX_Fif-h83aFo6wTY5V5pRPONdOSfC1Y
1,Scalable Variational Inference for Dynamical Systems,Nico S Gorbach · Stefan Bauer · Joachim M Buhmann,http://papers.nips.cc/paper/by-source-2017-2503,,
2,Active Learning from Peers,Keerthiram Murugesan · Jaime Carbonell,http://papers.nips.cc/paper/by-source-2017-3527,,
3,Gradient Episodic Memory for Continual Learning,David Lopez-Paz · Marc'Aurelio Ranzato,http://papers.nips.cc/paper/by-source-2017-3235,https://github.com/facebookresearch/GradientEpisodicMemory,
4,Consistent Multitask Learning with Nonlinear Output Relations,Carlo Ciliberto · Alessandro Rudi · Lorenzo Rosasco · Massimiliano Pontil,http://papers.nips.cc/paper/by-source-2017-1220,,
5,Joint distribution optimal transportation for domain adaptation,Nicolas Courty · Rémi Flamary · Amaury Habrard · Alain Rakotomamonjy,http://papers.nips.cc/paper/by-source-2017-2081,https://github.com/rflamary/JDOT,
6,Learning Multiple Tasks with Multilinear Relationship Networks,Mingsheng Long · ZHANGJIE CAO · Jianmin Wang · Philip S Yu,http://papers.nips.cc/paper/by-source-2017-1019,https://github.com/thuml/Xlearn,
7,Label Efficient Learning of Transferable Representations acrosss Domains and Tasks,Zelun Luo · Yuliang Zou · Judy Hoffman · Li Fei-Fei,http://papers.nips.cc/paper/by-source-2017-142,,http://alan.vision/nips17_website/poster.pdf
8,Matching neural paths: transfer from recognition to correspondence search,Nikolay Savinov · Lubor Ladicky · Marc Pollefeys,http://papers.nips.cc/paper/by-source-2017-808,,http://people.inf.ethz.ch/nsavinov/publications/matching_neural_paths_nips2017_poster.pdf
9,Do Deep Neural Networks Suffer from Crowding?,Anna Volokitin · Gemma Roig · Tomaso A Poggio,http://papers.nips.cc/paper/by-source-2017-2880,https://github.com/CBMM/eccentricity,
10,SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability,Maithra Raghu · Justin Gilmer · Jason Yosinski · Jascha Sohl-Dickstein,http://papers.nips.cc/paper/by-source-2017-3088,,
11,Neural Expectation Maximization,Klaus Greff · Sjoerd van Steenkiste · Jürgen Schmidhuber,http://papers.nips.cc/paper/by-source-2017-3354,https://github.com/sjoerdvansteenkiste/Neural-EM,
12,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,Charles Ruizhongtai Qi · Li Yi · Hao Su · Leonidas J Guibas,http://papers.nips.cc/paper/by-source-2017-2650,https://github.com/charlesq34/pointnet2,
13,PRUNE: Preserving Proximity and Global Ranking for Network Embedding,Yi-An Lai · Chin-Chi Hsu · Wen Hao Chen · Mi-Yen Yeh · Shou-De Lin,http://papers.nips.cc/paper/by-source-2017-2716,,https://drive.google.com/file/d/1KBPr4zqSya2jReQr7ci6MejYy4fmcKMX/view
14,Unsupervised Transformation Learning via Convex Relaxations,Tatsunori B Hashimoto · Percy Liang · John C Duchi,http://papers.nips.cc/paper/by-source-2017-3449,https://worksheets.codalab.org/worksheets/0x4412d72b55df47e5b457dacdba91f105/,
15,"Hunt For The Unique, Stable, Sparse And Fast Feature Learning On Graphs",Saurabh Verma · Zhi-Li Zhang,http://papers.nips.cc/paper/by-source-2017-73,https://github.com/vermaMachineLearning/FGSD,https://www-users.cs.umn.edu/~verma076/NIPS_2017_FSGD_poster.pdf
16,Deep Subspace Clustering Networks,Pan Ji · Tong Zhang · Hongdong Li · Mathieu Salzmann · Ian Reid,http://papers.nips.cc/paper/by-source-2017-34,https://github.com/panji1990/Deep-subspace-clustering-networks,
17,Learning Graph Representations with Embedding Propagation,Alberto Garcia Duran · Mathias Niepert,http://papers.nips.cc/paper/by-source-2017-2655,,http://agarciaduran.org/wp-content/uploads/2017/11/EP_poster.pdf
18,Unsupervised Sequence Classification using Sequential Output Statistics,Yu Liu · Jianshu Chen · Li Deng,http://papers.nips.cc/paper/by-source-2017-2009,,
19,Context Selection for Embedding Models,Liping Liu · Francisco Ruiz · Susan Athey · David Blei,http://papers.nips.cc/paper/by-source-2017-2504,https://github.com/blei-lab/context-selection-embedding,
20,Probabilistic Rule Realization and Selection,Haizi Yu · Tianxi Li · Lav Varshney,http://papers.nips.cc/paper/by-source-2017-993,,
21,Trimmed Density Ratio Estimation,Song Liu · Akiko Takeda · Taiji Suzuki · Kenji Fukumizu,http://papers.nips.cc/paper/by-source-2017-2356,http://allmodelsarewrong.org/software.html,
22,A Minimax Optimal Algorithm for Crowdsourcing,Thomas Bonald · Richard Combes,http://papers.nips.cc/paper/by-source-2017-2272,,
23,Introspective Classification with Convolutional Nets,Long Jin · Justin Lazarow · Zhuowen Tu,http://papers.nips.cc/paper/by-source-2017-556,,
24,Adaptive Classification for Prediction Under a Budget,Feng Nan · Venkatesh Saligrama,http://papers.nips.cc/paper/by-source-2017-2471,,http://people.bu.edu/fnan/NIPS2017_poster_adaptive_predict.pdf
25,Learning with Feature Evolvable Streams,Bo-Jian Hou · Lijun Zhang · Zhi-Hua Zhou,http://papers.nips.cc/paper/by-source-2017-914,,
26,Aggressive Sampling for Multi-class to Binary Reduction with Applications to Text Classification,Bikash Joshi · Massih-Reza Amini · Ioannis Partalas · Franck Iutzeler · Yury Maximov,http://papers.nips.cc/paper/by-source-2017-2192,https://github.com/bikash617/Aggressive-Sampling-for-Multi-class-to-BinaryReduction,
27,Adversarial Surrogate Losses for Ordinal Regression,Rizal Fathony · Mohammad Ali Bashiri · Brian Ziebart,http://papers.nips.cc/paper/by-source-2017-389,https://github.com/rizalzaf/adversarial-ordinal,
28,Formal Guarantees on the Robustness of a Classifier against Adversarial Manipulation,Matthias Hein · Maksym Andriushchenko,http://papers.nips.cc/paper/by-source-2017-1331,https://github.com/max-andr/cross-lipschitz,
29,Cost efficient gradient boosting,Sven Peter · Ferran Diego · Fred Hamprecht · Boaz Nadler,http://papers.nips.cc/paper/by-source-2017-990,https://github.com/svenpeter42/LightGBM-CEGB,
30,LightGBM: A Highly Efficient Gradient Boosting Decision Tree,Guolin Ke · Qi Meng · Thomas Finley · Taifeng Wang · Wei Chen · Weidong Ma · Qiwei Ye · Tie-Yan Liu,http://papers.nips.cc/paper/by-source-2017-1786,https://github.com/Microsoft/LightGBM,
31,Estimating Accuracy from Unlabeled Data: A Probabilistic Logic Approach,Emmanouil Platanios · Hoifung Poon · Tom M Mitchell · Eric J Horvitz,http://papers.nips.cc/paper/by-source-2017-2274,https://github.com/eaplatanios/makina,
32,Inferring Generative Model Structure with Static Analysis,Paroma Varma · Bryan He · Payal Bajaj · Nishith Khandwala · Imon Banerjee · Daniel Rubin · Christopher Ré,http://papers.nips.cc/paper/by-source-2017-183,,http://paroma.github.io/NIPS2017_Poster.pdf
33,Scalable Model Selection for Belief Networks,Zhao Song · Yusuke Muraoka · Ryohei Fujimaki · Lawrence Carin,http://papers.nips.cc/paper/by-source-2017-2410,,
34,"Time-dependent spatially varying graphical models, with application to brain fMRI data analysis",Kristjan Greenewald · Seyoung Park · Shuheng Zhou · Alexander Giessing,http://papers.nips.cc/paper/by-source-2017-2986,,
35,A Bayesian Data Augmentation Approach for Learning Deep Models,Toan Tran · Trung Pham · Gustavo Carneiro · Lyle Palmer · Ian Reid,http://papers.nips.cc/paper/by-source-2017-1583,https://github.com/toantm/keras-bda,
36,Union of Intersections (UoI) for Interpretable Data Driven Discovery and Prediction,Kristofer Bouchard · Alejandro Bujan · Farbod Roosta-Khorasani · Shashanka Ubaru · Mr. Prabhat · Antoine Snijders · Jian-Hua Mao · Edward Chang · Michael W Mahoney · Sharmodeep Bhattacharya,http://papers.nips.cc/paper/by-source-2017-717,,
37,Deep Learning with Topological Signatures,Christoph Hofer · Roland Kwitt · Marc Niethammer · Andreas Uhl,http://papers.nips.cc/paper/by-source-2017-1027,https://github.com/c-hofer/nips2017,
38,Practical Hash Functions for Similarity Estimation and Dimensionality Reduction,Søren Dahlgaard · Mathias Knudsen · Mikkel Thorup,http://papers.nips.cc/paper/by-source-2017-3315,https://github.com/zera/Nips_MT,https://github.com/zera/Nips_MT/raw/master/poster.pdf
39,Maxing and Ranking with Few Assumptions,Moein Falahatgar · Yi Hao · Alon Orlitsky · Venkatadheeraj Pichapati · Vaishakh Ravindrakumar,http://papers.nips.cc/paper/by-source-2017-3549,,
40,Kernel functions based on triplet comparisons,Matthäus Kleindessner · Ulrike von Luxburg,http://papers.nips.cc/paper/by-source-2017-3425,,
41,Learning A Structured Optimal Bipartite Graph for Co-Clustering,Feiping Nie · Xiaoqian Wang · Cheng Deng · Heng Huang,http://papers.nips.cc/paper/by-source-2017-2184,,
42,Multi-way Interacting Regression via Factorization Machines,Mikhail Yurochkin · XuanLong Nguyen · nikolaos Vasiloglou,http://papers.nips.cc/paper/by-source-2017-1494,https://github.com/moonfolk/MiFM,
43,Maximum Margin Interval Trees,Alexandre Drouin · Toby Hocking · Francois Laviolette,http://papers.nips.cc/paper/by-source-2017-2558,https://git.io/mmit (implementation) https://git.io/mmit-paper (experimental code) https://git.io/mmit-data (data sets),http://graal.ift.ulaval.ca/adrouin/nips2017_poster.pdf
44,Kernel Feature Selection via Conditional Covariance Minimization,Jianbo Chen · Mitchell Stern · Martin J Wainwright · Michael Jordan,http://papers.nips.cc/paper/by-source-2017-3482,,https://www.stat.berkeley.edu/~jianbo/poster_kfs_nips.pdf
45,Improved Graph Laplacian via Geometric Self-Consistency,Dominique Joncas · Marina Meila · James McQueen,http://papers.nips.cc/paper/by-source-2017-2330,,
46,Mixture-Rank Matrix Approximation for Collaborative Filtering,Dongsheng Li · Chao Chen · Wei Liu · Tun Lu · Ning Gu · Stephen Chu,http://papers.nips.cc/paper/by-source-2017-341,,
47,Predictive State Recurrent Neural Networks,Carlton Downey · Ahmed Hefny · Byron Boots · Geoffrey Gordon · Boyue Li,http://papers.nips.cc/paper/by-source-2017-3085,https://github.com/cmdowney/psrnn,http://www.cs.cmu.edu/~cmdowney/psrnn_poster_portrait.pdf
48,Hierarchical Methods of Moments,Matteo Ruffini · Guillaume Rabusseau · Borja Balle,http://papers.nips.cc/paper/by-source-2017-1188,,
49,Multitask Spectral Learning of Weighted Automata,Guillaume Rabusseau · Borja Balle · Joelle Pineau,http://papers.nips.cc/paper/by-source-2017-1492,,
50,Generative Local Metric Learning for Kernel Regression,Yung-Kyun Noh · Masashi Sugiyama · Kee-Eung Kim · Frank Park · Daniel Lee,http://papers.nips.cc/paper/by-source-2017-1442,https://github.com/nohyung/Nadaraya-Watson-Regression-Metric,
51,Principles of Riemannian Geometry  in Neural Networks,Michael Hauser · Asok Ray,http://papers.nips.cc/paper/by-source-2017-1594,,
52,Subset Selection and Summarization in Sequential Data,Ehsan Elhamifar · M. Clara De Paolis Kaluza,http://papers.nips.cc/paper/by-source-2017-675,,
53,On Quadratic Convergence of DC Proximal Newton Algorithm in Nonconvex Sparse Learning,Xingguo Li · Lin Yang · Jason Ge · Jarvis Haupt · Tong Zhang · Tuo Zhao,http://papers.nips.cc/paper/by-source-2017-1552,,
54,"Fast, Sample-Efficient Algorithms for Structured Phase Retrieval",Gauri Jagatap · Chinmay Hegde,http://papers.nips.cc/paper/by-source-2017-2542,https://github.com/GauriJagatap/model-copram,https://gaurijagatap.github.io/assets/poster.pdf
55,k-Support and Ordered Weighted Sparsity for Overlapping Groups: Hardness and Algorithms,Cong Han Lim · Stephen Wright,http://papers.nips.cc/paper/by-source-2017-224,,
56,Parametric Simplex Method for Sparse Learning,Haotian Pang · Han Liu · Robert J Vanderbei · Tuo Zhao,http://papers.nips.cc/paper/by-source-2017-164,,
57,Learned D-AMP: Principled Neural Network based Compressive Image Recovery,Chris Metzler · Ali Mousavi · Richard Baraniuk,http://papers.nips.cc/paper/by-source-2017-1119,https://github.com/ricedsp/D-AMP_Toolbox,
58,FALKON: An Optimal Large Scale Kernel Method,Alessandro Rudi · Luigi Carratino · Lorenzo Rosasco,http://papers.nips.cc/paper/by-source-2017-2109,https://github.com/LCSL/FALKON_paper,
59,Recursive Sampling for the Nystrom Method,Cameron Musco · Christopher Musco,http://papers.nips.cc/paper/by-source-2017-2097,https://github.com/cnmusco/recursive-nystrom,
60,Efficient Approximation Algorithms for Strings Kernel Based Sequence Classification,Muhammad Farhan · Juvaria Tariq · Arif Zaman · Mudassir Shabbir · Imdad Ullah Khan,http://papers.nips.cc/paper/by-source-2017-3476,github.com/mufarhan/sequence_class_NIPS_2017,
61,Robust Hypothesis Test for Nonlinear Effect with Gaussian Processes,Jeremiah Liu · Brent Coull,http://papers.nips.cc/paper/by-source-2017-523,,
62,Invariance and Stability of Deep Convolutional Representations,Alberto Bietti · Julien Mairal,http://papers.nips.cc/paper/by-source-2017-3147,,
63,Testing and Learning on Distributions with Symmetric Noise Invariance,Law Ho Chung · Christopher Yau · Dino Sejdinovic,http://papers.nips.cc/paper/by-source-2017-876,https://github.com/hcllaw/phase_learn,
64,An Empirical Study on The Properties of Random Bases for Kernel Methods,Maximilian Alber · Pieter-Jan Kindermans · Kristof Schütt · Klaus-Robert Müller · Fei Sha,http://papers.nips.cc/paper/by-source-2017-1562,,
65,Max-Margin Invariant Features from Transformed Unlabelled Data,Dipan Pal · Ashwin Kannan · Gautam Arakalgud · Marios Savvides,http://papers.nips.cc/paper/by-source-2017-920,,
66,SafetyNets: Verifiable Execution of Deep Neural Networks on an Untrusted Cloud,Zahra Ghodsi · Tianyu Gu · Siddharth Garg,http://papers.nips.cc/paper/by-source-2017-2442,,
67,The Neural Hawkes Process: A Neurally Self-Modulating Multivariate Point Process,Hongyuan Mei · Jason Eisner,http://papers.nips.cc/paper/by-source-2017-3392,https://github.com/HMEIatJHU/neurawkes,http://www.cs.jhu.edu/~hmei/papers/mei+eisner.nips17.poster.pdf
68,The Importance of Communities for Learning to Influence,Eric Balkanski · Nicole Immorlica · Yaron Singer,http://papers.nips.cc/paper/by-source-2017-2999,,
69,Inductive Representation Learning on Large Graphs,Will Hamilton · Zhitao Ying · Jure Leskovec,http://papers.nips.cc/paper/by-source-2017-671,https://github.com/williamleif/GraphSAGE,
70,A Meta-Learning Perspective on Cold-Start Recommendations for Items,Manasi Vartak · Arvind Thiagarajan · Conrado Miranda · Jeshua Bratman · Hugo Larochelle,http://papers.nips.cc/paper/by-source-2017-3464,,
71,DropoutNet: Addressing Cold Start in Recommender Systems,Maksims Volkovs · Guangwei Yu · Tomi Poutanen,http://papers.nips.cc/paper/by-source-2017-2563,https://github.com/layer6ai-labs/DropoutNet,
72,Federated Multi-Task Learning,Virginia Smith · Chao-Kai Chiang · Maziar Sanjabi · Ameet S Talwalkar,http://papers.nips.cc/paper/by-source-2017-2307,https://github.com/gingsmith/fmtl,
