,title,authors,paper_url,code_url,poster_url,github,live,gh_full_path
14,Unsupervised Transformation Learning via Convex Relaxations,Tatsunori B Hashimoto · Percy Liang · John C Duchi,http://papers.nips.cc/paper/by-source-2017-3449,https://worksheets.codalab.org/worksheets/0x4412d72b55df47e5b457dacdba91f105/,,False,True,False
21,Trimmed Density Ratio Estimation,Song Liu · Akiko Takeda · Taiji Suzuki · Kenji Fukumizu,http://papers.nips.cc/paper/by-source-2017-2356,http://allmodelsarewrong.org/software.html,,False,True,False
43,Maximum Margin Interval Trees,Alexandre Drouin · Toby Hocking · Francois Laviolette,http://papers.nips.cc/paper/by-source-2017-2558,https://git.io/mmit (implementation) https://git.io/mmit-paper (experimental code) https://git.io/mmit-data (data sets),http://graal.ift.ulaval.ca/adrouin/nips2017_poster.pdf,False,False,False
60,Efficient Approximation Algorithms for Strings Kernel Based Sequence Classification,Muhammad Farhan · Juvaria Tariq · Arif Zaman · Mudassir Shabbir · Imdad Ullah Khan,http://papers.nips.cc/paper/by-source-2017-3476,github.com/mufarhan/sequence_class_NIPS_2017,,True,,False
87,Visual Reference Resolution using Attention Memory for Visual Dialog,Paul Hongsuck Seo · Andreas Lehrmann · Bohyung Han · Leonid Sigal,http://papers.nips.cc/paper/by-source-2017-2079,http://cvlab.postech.ac.kr/research/attmem/,https://www.dropbox.com/s/atxk535eu2f1ykh/poster.pdf?dl=0,False,True,False
93,Pose Guided Person Image Generation,Liqian Ma · Xu Jia · Qianru Sun · Bernt Schiele · Tinne Tuytelaars · Luc Van Gool,http://papers.nips.cc/paper/by-source-2017-301,DeepFashion data for PG2 https://drive.google.com/file/d/10zkJUJBV0WQqglWIrFY_Nh1f8sQx3V9n/view?usp=sharing,https://homes.esat.kuleuven.be/~liqianma/NIPS17_PG2/NIPS17_PG2_poster.pdf,False,,False
100,Attentional Pooling for Action Recognition,Rohit Girdhar · Deva Ramanan,http://papers.nips.cc/paper/by-source-2017-47,https://rohitgirdhar.github.io/AttentionalPoolingAction/,,False,True,False
109,Z-Forcing: Training Stochastic Recurrent Networks,Anirudh Goyal ALIAS PARTH GOYAL · Alessandro Sordoni · Marc-Alexandre Côté · Nan Ke · Yoshua Bengio,http://papers.nips.cc/paper/by-source-2017-3370,github.com/anirudh9119/zforcing_nips17,,True,,False
113,PredRNN: Recurrent Neural Networks for Predictive Learning using Spatiotemporal LSTMs,Yunbo Wang · Mingsheng Long · Jianmin Wang · Zhifeng Gao · Philip S Yu,http://papers.nips.cc/paper/by-source-2017-573,https://github.com/thuml,,True,True,False
156,Subset Selection under Noise,Chao Qian · Jing-Cheng Shi · Yang Yu · Ke Tang · Zhi-Hua Zhou,http://papers.nips.cc/paper/by-source-2017-2010,http://lamda.nju.edu.cn/code_PONSS.ashx,,False,True,False
159,Non-monotone Continuous DR-submodular  Maximization: Structure and Algorithms,An Bian · Kfir Levy · Andreas Krause · Joachim M Buhmann,http://papers.nips.cc/paper/by-source-2017-342,https://github.com/bianan,http://neocortex.ch/docs/poster-nips17.pdf,True,True,False
